assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_019997865.1	PRJNA224116	SAMN21028540	na	na	470	470	Acinetobacter baumannii	strain=AB43	na	latest	Complete Genome	Major	Full	2021-09-15	ASM1999786v1	Yangzhou University	GCA_019997865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/997/865/GCF_019997865.1_ASM1999786v1/	na	na	na	haploid	bacteria	3959115	3959115	39.000000	2	2	2	NCBI RefSeq	GCF_019997865.1-RS_2026_01_21	2026-01-21	3874	3573	96	na
GCF_020132105.1	PRJNA224116	SAMN21240079	na	na	470	470	Acinetobacter baumannii	strain=Cl300	na	latest	Complete Genome	Major	Full	2021-09-24	ASM2013210v1	University of Technology Sydney	GCA_020132105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/132/105/GCF_020132105.1_ASM2013210v1/	na	na	na	haploid	bacteria	4016584	4016584	39.000000	2	2	2	NCBI RefSeq	GCF_020132105.1-RS_2026_01_09	2026-01-09	3859	3680	94	na
GCF_020271605.1	PRJNA224116	SAMN20477964	na	na	470	470	Acinetobacter baumannii	strain=LHC22-2	na	latest	Complete Genome	Major	Full	2021-10-05	ASM2027160v1	Yangzhou University	GCA_020271605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/271/605/GCF_020271605.1_ASM2027160v1/	na	na	na	haploid	bacteria	4062322	4062322	39.000000	3	3	3	NCBI RefSeq	GCF_020271605.1-RS_2026_01_21	2026-01-21	3865	3669	95	na
GCF_020520325.1	PRJNA224116	SAMN22202742	na	na	470	470	Acinetobacter baumannii	strain=HKU3	na	latest	Complete Genome	Major	Full	2021-10-18	ASM2052032v1	The University of Hong Kong	GCA_020520325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/520/325/GCF_020520325.1_ASM2052032v1/	na	na	na	haploid	bacteria	4068208	4068208	39.000000	3	3	3	NCBI RefSeq	GCF_020520325.1-RS_2026_01_09	2026-01-09	3960	3796	96	na
GCF_020520345.1	PRJNA224116	SAMN22202743	na	na	470	470	Acinetobacter baumannii	strain=HKU4	na	latest	Complete Genome	Major	Full	2021-10-18	ASM2052034v1	The University of Hong Kong	GCA_020520345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/520/345/GCF_020520345.1_ASM2052034v1/	na	na	na	haploid	bacteria	4067975	4067975	39.000000	3	3	3	NCBI RefSeq	GCF_020520345.1-RS_2026_01_09	2026-01-09	3961	3798	95	na
GCF_020520365.1	PRJNA224116	SAMN22202744	na	na	470	470	Acinetobacter baumannii	strain=HKU5	na	latest	Complete Genome	Major	Full	2021-10-18	ASM2052036v1	The University of Hong Kong	GCA_020520365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/520/365/GCF_020520365.1_ASM2052036v1/	na	na	na	haploid	bacteria	4068130	4068130	39.000000	3	3	3	NCBI RefSeq	GCF_020520365.1-RS_2026_01_09	2026-01-09	3961	3797	96	na
GCF_020520385.1	PRJNA224116	SAMN22202745	na	na	470	470	Acinetobacter baumannii	strain=HKU6	na	latest	Complete Genome	Major	Full	2021-10-18	ASM2052038v1	The University of Hong Kong	GCA_020520385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/520/385/GCF_020520385.1_ASM2052038v1/	na	na	na	haploid	bacteria	4069263	4069263	39.000000	3	3	3	NCBI RefSeq	GCF_020520385.1-RS_2026_01_09	2026-01-09	3961	3795	96	na
GCF_020520405.1	PRJNA224116	SAMN22202746	na	na	470	470	Acinetobacter baumannii	strain=HKU7	na	latest	Complete Genome	Major	Full	2021-10-18	ASM2052040v1	The University of Hong Kong	GCA_020520405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/520/405/GCF_020520405.1_ASM2052040v1/	na	na	na	haploid	bacteria	4069270	4069270	39.000000	3	3	3	NCBI RefSeq	GCF_020520405.1-RS_2026_01_09	2026-01-09	3962	3796	96	na
GCF_020810655.1	PRJNA224116	SAMN14226727	na	na	470	470	Acinetobacter baumannii	strain=RCH52	na	latest	Complete Genome	Major	Full	2021-11-09	ASM2081065v1	University of Sydney	GCA_020810655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/810/655/GCF_020810655.1_ASM2081065v1/	na	na	na	haploid	bacteria	4041708	4041708	39.500000	3	3	3	NCBI RefSeq	GCF_020810655.1-RS_2026_01_02	2026-01-02	3876	3716	95	na
GCF_020906565.1	PRJNA224116	SAMN23041240	na	na	470	470	Acinetobacter baumannii	strain=ACI713	na	latest	Complete Genome	Major	Full	2021-11-21	ASM2090656v1	Leibniz Institute of Photonic Technology	GCA_020906565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/906/565/GCF_020906565.1_ASM2090656v1/	na	na	na	haploid	bacteria	3935674	3935674	39.000000	1	1	1	NCBI RefSeq	GCF_020906565.1-RS_2026_01_21	2026-01-21	3789	3582	95	na
GCF_020911985.1	PRJNA224116	SAMN19110717	na	na	470	470	Acinetobacter baumannii	strain=ATCC 19606	na	latest	Complete Genome	Major	Full	2021-11-22	ASM2091198v1	University of Georgia	GCA_020911985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/911/985/GCF_020911985.1_ASM2091198v1/	na	assembly from type material	na	haploid	bacteria	3999499	3999499	39.000000	2	2	2	NCBI RefSeq	GCF_020911985.1-RS_2026_01_22	2026-01-22	3830	3679	96	na
GCF_020912005.1	PRJNA224116	SAMN19110862	na	na	470	470	Acinetobacter baumannii	strain=ATCC 17978	na	latest	Complete Genome	Major	Full	2021-11-22	ASM2091200v1	University of Georgia	GCA_020912005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/912/005/GCF_020912005.1_ASM2091200v1/	na	na	na	haploid	bacteria	4174864	4174864	39.000000	6	6	6	NCBI RefSeq	GCF_020912005.1-RS_2026_01_21	2026-01-21	4029	3855	95	na
GCF_020985285.1	PRJNA224116	SAMN23235066	na	na	470	470	Acinetobacter baumannii	strain=SHOU-Ab01	na	latest	Complete Genome	Major	Full	2021-11-25	ASM2098528v1	Beijing Institute of Biotechnology	GCA_020985285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/985/285/GCF_020985285.1_ASM2098528v1/	na	na	na	haploid	bacteria	3906303	3906303	39.000000	3	3	3	NCBI RefSeq	GCF_020985285.1-RS_2026_01_22	2026-01-22	3743	3554	95	na
GCF_021019455.3	PRJNA224116	SAMN21245944	na	na	470	470	Acinetobacter baumannii	strain=MRSN571146	na	latest	Complete Genome	Major	Full	2024-10-28	ASM2101945v3	The University of Sydney	GCA_021019455.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/019/455/GCF_021019455.3_ASM2101945v3/	na	na	na	haploid	bacteria	4020125	4020125	39.000000	1	1	1	NCBI RefSeq	GCF_021019455.3-RS_2026_01_21	2026-01-21	3845	3655	96	na
GCF_021019495.3	PRJNA224116	SAMN21245945	na	na	470	470	Acinetobacter baumannii	strain=MRSN576822	na	latest	Complete Genome	Major	Full	2024-10-28	ASM2101949v3	The University of Sydney	GCA_021019495.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/019/495/GCF_021019495.3_ASM2101949v3/	na	na	na	haploid	bacteria	4058653	4058653	39.000000	1	1	1	NCBI RefSeq	GCF_021019495.3-RS_2026_01_21	2026-01-21	3905	3711	97	na
GCF_021398135.1	PRJNA224116	SAMN24425237	na	na	470	470	Acinetobacter baumannii	strain=AB1343	na	latest	Complete Genome	Major	Full	2022-01-10	ASM2139813v1	Jinan University	GCA_021398135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/135/GCF_021398135.1_ASM2139813v1/	na	na	na	haploid	bacteria	3921614	3921614	39.000000	2	2	2	NCBI RefSeq	GCF_021398135.1-RS_2025_12_21	2025-12-21	3780	3613	95	na
GCF_021484905.1	PRJNA224116	SAMN23416908	na	na	470	470	Acinetobacter baumannii	strain=MRSN 58	na	latest	Complete Genome	Major	Full	2022-01-16	ASM2148490v1	The University of Sydney	GCA_021484905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/484/905/GCF_021484905.1_ASM2148490v1/	na	na	na	haploid	bacteria	4264976	4264976	39.500000	1	1	1	NCBI RefSeq	GCF_021484905.1-RS_2026_02_09	2026-02-09	4244	3988	97	na
GCF_021559695.1	PRJNA224116	SAMN15097904	na	na	470	470	Acinetobacter baumannii	strain=AB79	na	latest	Complete Genome	Major	Full	2022-01-24	ASM2155969v1	The First Affiliated Hospital College of Medicine Zhejiang University	GCA_021559695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/559/695/GCF_021559695.1_ASM2155969v1/	na	na	na	haploid	bacteria	4072472	4072472	39.000000	2	2	2	NCBI RefSeq	GCF_021559695.1-RS_2025_12_20	2025-12-20	3957	3791	96	na
GCF_021609965.1	PRJNA224116	SAMN23416895	na	na	470	470	Acinetobacter baumannii	strain=MRSN57	na	latest	Complete Genome	Major	Full	2022-01-26	ASM2160996v1	The University of Sydney	GCA_021609965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/609/965/GCF_021609965.1_ASM2160996v1/	na	na	na	haploid	bacteria	4125503	4125503	39.500000	1	1	1	NCBI RefSeq	GCF_021609965.1-RS_2026_01_21	2026-01-21	4040	3842	97	na
GCF_021725415.1	PRJNA224116	SAMN25185246	na	na	470	470	Acinetobacter baumannii	strain=BM2333	na	latest	Complete Genome	Major	Full	2022-01-30	ASM2172541v1	wenzhou medical university	GCA_021725415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/725/415/GCF_021725415.1_ASM2172541v1/	na	na	na	haploid	bacteria	4078195	4078195	39.000000	2	2	2	NCBI RefSeq	GCF_021725415.1-RS_2026_03_14	2026-03-14	3965	3800	96	na
GCF_021729465.1	PRJNA224116	SAMN15182649	na	na	470	470	Acinetobacter baumannii	strain=YC103	na	latest	Complete Genome	Major	Full	2022-01-31	ASM2172946v1	South China Agricultural University	GCA_021729465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/729/465/GCF_021729465.1_ASM2172946v1/	na	na	na	haploid	bacteria	4032777	4032777	39.000000	2	2	2	NCBI RefSeq	GCF_021729465.1-RS_2026_03_15	2026-03-15	3888	3702	96	na
GCF_021730415.1	PRJNA224116	SAMN22170067	na	na	470	470	Acinetobacter baumannii	strain=AB329	na	latest	Complete Genome	Major	Full	2022-01-31	ASM2173041v1	Naresuan University	GCA_021730415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/730/415/GCF_021730415.1_ASM2173041v1/	na	na	na	haploid	bacteria	4038879	4038879	39.000000	3	3	3	NCBI RefSeq	GCF_021730415.1-RS_2024_04_21	2024-04-21	3942	3757	93	na
GCF_021764725.1	PRJNA224116	SAMN25236223	na	na	470	470	Acinetobacter baumannii	strain=NCCP 16007	na	latest	Complete Genome	Major	Full	2022-02-01	ASM2176472v1	Korea university	GCA_021764725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/764/725/GCF_021764725.1_ASM2176472v1/	na	na	na	haploid	bacteria	3862774	3862774	39.000000	2	2	2	NCBI RefSeq	GCF_021764725.1-RS_2026_03_15	2026-03-15	3670	3503	94	na
GCF_021899715.1	PRJNA224116	SAMN25263435	na	na	470	470	Acinetobacter baumannii	strain=Nord4-2	na	latest	Complete Genome	Major	Full	2022-02-03	ASM2189971v1	Leibniz Institute of Photonic Technology	GCA_021899715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/899/715/GCF_021899715.1_ASM2189971v1/	na	na	na	haploid	bacteria	4363296	4363296	39.000000	4	4	4	NCBI RefSeq	GCF_021899715.1-RS_2026_03_18	2026-03-18	4224	4016	96	na
GCF_022107375.1	PRJNA224116	SAMN25755497	na	na	470	470	Acinetobacter baumannii	strain=2022CK-00063	na	latest	Complete Genome	Major	Full	2023-01-17	ASM2210737v2	Utah Public Health Laboratory Infectious Disease submission group	GCA_022107375.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/107/375/GCF_022107375.1_ASM2210737v2/	na	na	na	haploid	bacteria	3997151	3997151	39.000000	2	2	2	NCBI RefSeq	GCF_022107375.1-RS_2025_05_14	2025-05-14	3861	3671	95	na
GCF_022369275.1	PRJNA224116	SAMN15438232	na	na	470	470	Acinetobacter baumannii	strain=M164-3	na	latest	Complete Genome	Major	Full	2022-02-23	ASM2236927v1	microbial pathogenic ecology group	GCA_022369275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/369/275/GCF_022369275.1_ASM2236927v1/	na	na	na	haploid	bacteria	3930293	3930293	39.000000	3	3	3	NCBI RefSeq	GCF_022369275.1-RS_2026_04_02	2026-04-02	3771	3615	96	na
GCF_022369355.1	PRJNA224116	SAMN15589941	na	na	470	470	Acinetobacter baumannii	strain=M175-3	na	latest	Complete Genome	Major	Full	2022-02-23	ASM2236935v1	microbial pathogenic ecology group	GCA_022369355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/369/355/GCF_022369355.1_ASM2236935v1/	na	na	na	haploid	bacteria	3963879	3963879	39.000000	3	3	3	NCBI RefSeq	GCF_022369355.1-RS_2026_04_01	2026-04-01	3759	3610	96	na
GCF_022429585.1	PRJNA224116	SAMN26082895	na	na	470	470	Acinetobacter baumannii	strain=AB2877	na	latest	Complete Genome	Major	Full	2022-03-01	ASM2242958v1	Jinan University	GCA_022429585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/429/585/GCF_022429585.1_ASM2242958v1/	na	na	na	haploid	bacteria	3895757	3895757	39.000000	2	2	2	NCBI RefSeq	GCF_022429585.1-RS_2026_04_25	2026-04-25	3711	3539	95	na
GCF_022459055.1	PRJNA224116	SAMN25131651	na	na	470	470	Acinetobacter baumannii	strain=AB180-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245905v1	Vrije Universiteit Brussel	GCA_022459055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/055/GCF_022459055.1_ASM2245905v1/	na	na	na	haploid	bacteria	3918856	3918856	39.000000	1	1	1	NCBI RefSeq	GCF_022459055.1-RS_2025_04_13	2025-04-13	3744	3567	95	na
GCF_022459075.1	PRJNA224116	SAMN25131650	na	na	470	470	Acinetobacter baumannii	strain=AB179-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245907v1	Vrije Universiteit Brussel	GCA_022459075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/075/GCF_022459075.1_ASM2245907v1/	na	na	na	haploid	bacteria	3638126	3638126	39.000000	1	1	1	NCBI RefSeq	GCF_022459075.1-RS_2025_04_24	2025-04-24	3492	3249	95	na
GCF_022459095.1	PRJNA224116	SAMN25131649	na	na	470	470	Acinetobacter baumannii	strain=AB177-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245909v1	Vrije Universiteit Brussel	GCA_022459095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/095/GCF_022459095.1_ASM2245909v1/	na	na	na	haploid	bacteria	4014141	4014141	39.000000	1	1	1	NCBI RefSeq	GCF_022459095.1-RS_2025_04_22	2025-04-22	3867	3657	95	na
GCF_022459135.1	PRJNA224116	SAMN25131647	na	na	470	470	Acinetobacter baumannii	strain=AB175-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245913v1	Vrije Universiteit Brussel	GCA_022459135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/135/GCF_022459135.1_ASM2245913v1/	na	na	na	haploid	bacteria	3897771	3897771	39.000000	1	1	1	NCBI RefSeq	GCF_022459135.1-RS_2025_04_22	2025-04-22	3718	3501	95	na
GCF_022459155.1	PRJNA224116	SAMN25131646	na	na	470	470	Acinetobacter baumannii	strain=AB173-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245915v1	Vrije Universiteit Brussel	GCA_022459155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/155/GCF_022459155.1_ASM2245915v1/	na	na	na	haploid	bacteria	4118848	4118848	39.000000	1	1	1	NCBI RefSeq	GCF_022459155.1-RS_2025_04_22	2025-04-22	4001	3773	95	na
GCF_022459175.1	PRJNA224116	SAMN25131645	na	na	470	470	Acinetobacter baumannii	strain=AB172-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245917v1	Vrije Universiteit Brussel	GCA_022459175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/175/GCF_022459175.1_ASM2245917v1/	na	na	na	haploid	bacteria	3996138	3996138	39.000000	1	1	1	NCBI RefSeq	GCF_022459175.1-RS_2025_04_22	2025-04-22	3822	3608	95	na
GCF_022459295.1	PRJNA224116	SAMN25131644	na	na	470	470	Acinetobacter baumannii	strain=AB171-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245929v1	Vrije Universiteit Brussel	GCA_022459295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/295/GCF_022459295.1_ASM2245929v1/	na	na	na	haploid	bacteria	3974863	3974863	39.000000	1	1	1	NCBI RefSeq	GCF_022459295.1-RS_2025_04_22	2025-04-22	3806	3597	95	na
GCF_022459415.1	PRJNA224116	SAMN25131643	na	na	470	470	Acinetobacter baumannii	strain=AB169-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245941v1	Vrije Universiteit Brussel	GCA_022459415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/415/GCF_022459415.1_ASM2245941v1/	na	na	na	haploid	bacteria	4106222	4106222	39.000000	1	1	1	NCBI RefSeq	GCF_022459415.1-RS_2025_04_22	2025-04-22	3954	3743	96	na
GCF_022459595.1	PRJNA224116	SAMN25131642	na	na	470	470	Acinetobacter baumannii	strain=AB167-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245959v1	Vrije Universiteit Brussel	GCA_022459595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/595/GCF_022459595.1_ASM2245959v1/	na	na	na	haploid	bacteria	3976873	3976873	39.000000	1	1	1	NCBI RefSeq	GCF_022459595.1-RS_2025_04_22	2025-04-22	3812	3604	93	na
GCF_022459875.1	PRJNA224116	SAMN25131640	na	na	470	470	Acinetobacter baumannii	strain=AB39-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245987v1	Vrije Universiteit Brussel	GCA_022459875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/459/875/GCF_022459875.1_ASM2245987v1/	na	na	na	haploid	bacteria	4021915	4021915	39.000000	1	1	1	NCBI RefSeq	GCF_022459875.1-RS_2025_04_22	2025-04-22	3876	3646	95	na
GCF_022460015.1	PRJNA224116	SAMN25131639	na	na	470	470	Acinetobacter baumannii	strain=AB36-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246001v1	Vrije Universiteit Brussel	GCA_022460015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/460/015/GCF_022460015.1_ASM2246001v1/	na	na	na	haploid	bacteria	3991978	3991978	39.000000	1	1	1	NCBI RefSeq	GCF_022460015.1-RS_2025_04_22	2025-04-22	3848	3647	94	na
GCF_022460295.1	PRJNA224116	SAMN25131637	na	na	470	470	Acinetobacter baumannii	strain=AB21-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246029v1	Vrije Universiteit Brussel	GCA_022460295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/460/295/GCF_022460295.1_ASM2246029v1/	na	na	na	haploid	bacteria	4058269	4058269	39.000000	1	1	1	NCBI RefSeq	GCF_022460295.1-RS_2025_04_22	2025-04-22	3883	3685	98	na
GCF_022460575.1	PRJNA224116	SAMN25131635	na	na	470	470	Acinetobacter baumannii	strain=AB16-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246057v1	Vrije Universiteit Brussel	GCA_022460575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/460/575/GCF_022460575.1_ASM2246057v1/	na	na	na	haploid	bacteria	3995974	3995974	39.000000	1	1	1	NCBI RefSeq	GCF_022460575.1-RS_2024_04_21	2024-04-21	3850	3663	97	na
GCF_022466815.1	PRJNA224116	SAMN25131677	na	na	470	470	Acinetobacter baumannii	strain=DSM30011-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246681v1	Vrije Universiteit Brussel	GCA_022466815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/466/815/GCF_022466815.1_ASM2246681v1/	na	na	na	haploid	bacteria	3996233	3996233	39.000000	1	1	1	NCBI RefSeq	GCF_022466815.1-RS_2025_04_22	2025-04-22	3851	3658	95	na
GCF_022466975.1	PRJNA224116	SAMN25131676	na	na	470	470	Acinetobacter baumannii	strain=ATCC19606-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246697v1	Vrije Universiteit Brussel	GCA_022466975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/466/975/GCF_022466975.1_ASM2246697v1/	na	na	na	haploid	bacteria	3980154	3980154	39.000000	1	1	1	NCBI RefSeq	GCF_022466975.1-RS_2025_04_13	2025-04-13	3808	3635	96	na
GCF_022467135.1	PRJNA224116	SAMN25131675	na	na	470	470	Acinetobacter baumannii	strain=ATCC17978-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246713v1	Vrije Universiteit Brussel	GCA_022467135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/135/GCF_022467135.1_ASM2246713v1/	na	na	na	haploid	bacteria	3901878	3901878	39.000000	1	1	1	NCBI RefSeq	GCF_022467135.1-RS_2026_04_26	2026-04-26	3731	3564	94	na
GCF_022467255.1	PRJNA224116	SAMN25131674	na	na	470	470	Acinetobacter baumannii	strain=AB233-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246725v1	Vrije Universiteit Brussel	GCA_022467255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/255/GCF_022467255.1_ASM2246725v1/	na	na	na	haploid	bacteria	3871059	3871059	39.000000	1	1	1	NCBI RefSeq	GCF_022467255.1-RS_2025_04_13	2025-04-13	3735	3558	95	na
GCF_022467435.1	PRJNA224116	SAMN25131672	na	na	470	470	Acinetobacter baumannii	strain=AB231-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246743v1	Vrije Universiteit Brussel	GCA_022467435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/435/GCF_022467435.1_ASM2246743v1/	na	na	na	haploid	bacteria	3996446	3996446	39.000000	1	1	1	NCBI RefSeq	GCF_022467435.1-RS_2025_04_22	2025-04-22	3884	3632	95	na
GCF_022467535.1	PRJNA224116	SAMN25131671	na	na	470	470	Acinetobacter baumannii	strain=AB229-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246753v1	Vrije Universiteit Brussel	GCA_022467535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/535/GCF_022467535.1_ASM2246753v1/	na	na	na	haploid	bacteria	3875531	3875531	39.000000	1	1	1	NCBI RefSeq	GCF_022467535.1-RS_2026_05_01	2026-05-01	3688	3509	95	na
GCF_022467655.1	PRJNA224116	SAMN25131670	na	na	470	470	Acinetobacter baumannii	strain=AB227-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246765v1	Vrije Universiteit Brussel	GCA_022467655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/655/GCF_022467655.1_ASM2246765v1/	na	na	na	haploid	bacteria	3874353	3874353	39.000000	1	1	1	NCBI RefSeq	GCF_022467655.1-RS_2025_04_14	2025-04-14	3689	3503	95	na
GCF_022467735.1	PRJNA224116	SAMN25131669	na	na	470	470	Acinetobacter baumannii	strain=AB226-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246773v1	Vrije Universiteit Brussel	GCA_022467735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/735/GCF_022467735.1_ASM2246773v1/	na	na	na	haploid	bacteria	4008883	4008883	39.000000	1	1	1	NCBI RefSeq	GCF_022467735.1-RS_2025_04_22	2025-04-22	3873	3667	94	na
GCF_022467805.1	PRJNA224116	SAMN25131668	na	na	470	470	Acinetobacter baumannii	strain=AB224-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246780v1	Vrije Universiteit Brussel	GCA_022467805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/805/GCF_022467805.1_ASM2246780v1/	na	na	na	haploid	bacteria	4012438	4012438	39.000000	1	1	1	NCBI RefSeq	GCF_022467805.1-RS_2025_04_22	2025-04-22	3869	3661	95	na
GCF_022467905.1	PRJNA224116	SAMN25131667	na	na	470	470	Acinetobacter baumannii	strain=AB222-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246790v1	Vrije Universiteit Brussel	GCA_022467905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/905/GCF_022467905.1_ASM2246790v1/	na	na	na	haploid	bacteria	3930310	3930310	39.000000	1	1	1	NCBI RefSeq	GCF_022467905.1-RS_2025_04_22	2025-04-22	3774	3564	95	na
GCF_022467975.1	PRJNA224116	SAMN25131666	na	na	470	470	Acinetobacter baumannii	strain=AB220-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246797v1	Vrije Universiteit Brussel	GCA_022467975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/467/975/GCF_022467975.1_ASM2246797v1/	na	na	na	haploid	bacteria	3995387	3995387	39.000000	1	1	1	NCBI RefSeq	GCF_022467975.1-RS_2025_04_22	2025-04-22	3821	3629	95	na
GCF_022468075.1	PRJNA224116	SAMN25131665	na	na	470	470	Acinetobacter baumannii	strain=AB219-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246807v1	Vrije Universiteit Brussel	GCA_022468075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/468/075/GCF_022468075.1_ASM2246807v1/	na	na	na	haploid	bacteria	3937922	3937922	39.000000	1	1	1	NCBI RefSeq	GCF_022468075.1-RS_2025_04_13	2025-04-13	3754	3580	95	na
GCF_022468195.1	PRJNA224116	SAMN25131664	na	na	470	470	Acinetobacter baumannii	strain=AB217-VUB	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2246819v1	Vrije Universiteit Brussel	GCA_022468195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/468/195/GCF_022468195.1_ASM2246819v1/	na	na	na	haploid	bacteria	4068658	4068658	39.000000	1	1	1	NCBI RefSeq	GCF_022468195.1-RS_2026_04_29	2026-04-29	3980	3797	97	na
